Timestamp,Grade,CanteenVisit,EatFreq,TimeOfDay,GroupSize,AvgSpend,FoodCat,MainReason,FoodQuality,FoodPrice,Cleanliness,QueueSys,QueueTime,Ambience,SeatComfort,AirCirc,OutOfStock,CantHours
16/05/2025 22:53,B27,Beberapa kali dalam satu minggu,3,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,4,5,4,3,4,5,2,2,5
17/05/2025 12:26,B27,Jarang atau tidak pernah,1,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,4,3,4,2,3,4,3,4,4,3
17/05/2025 12:26,B27,Sehari sekali,3,Siang,3,> Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,3,3,3,1,2,3,2,2,4
17/05/2025 12:26,B27,Jarang atau tidak pernah,0,Siang,4,≤ Rp 15.000,Cemilan ringan,Lokasi,5,4,2,5,5,5,4,5,1,5
17/05/2025 12:26,B27,Beberapa kali dalam satu minggu,2,Siang,4,> Rp 30.000,Makanan berbasis nasi,Variasi makanan,4,3,4,3,3,3,3,4,3,3
18/05/2025 20:59,B27,Beberapa kali dalam satu minggu,3,Sore,1,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,3,3,3,3,3,3,3,3,3,3
18/05/2025 22:55,B27,Beberapa kali dalam satu minggu,4,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,3,4,3,2,4,3,4,1,4
18/05/2025 23:58,B28,Beberapa kali dalam satu minggu,2,Siang,2,Rp 26.000 - Rp 30.000,Makanan cepat saji,Variasi makanan,4,4,4,3,2,4,4,3,3,3
19/05/2025 11:59,B27,Beberapa kali dalam satu minggu,2,Siang,4,Rp 26.000 - Rp 30.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,4,3,3,4,4,4,2,4
19/05/2025 12:05,B27,Beberapa kali dalam satu minggu,2,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,4,4,5,5,5,5,5,4,2,5
19/05/2025 12:37,B27,Beberapa kali dalam satu minggu,4,Sore,2,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,4,4,4,4,5,4,4,1,5
19/05/2025 13:09,B27,Beberapa kali dalam satu minggu,3,Siang,2,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Variasi makanan,4,4,3,4,5,3,5,3,3,4
20/05/2025 10:50,B27,Beberapa kali dalam satu minggu,4,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,4,4,4,4,4,5,5,1,2,5
20/05/2025 10:51,B27,Sehari sekali,1,Siang,3,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Fasilitas,4,5,5,4,3,4,4,4,3,4
20/05/2025 11:18,B27,Beberapa kali dalam sehari,4,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,5,5,5,3,3,5,5,4,1,4
